year,RegionName,population,median_value,gross_rent_total,median_income
2019,Bennington VT,35728.45714285715,208260.0,813.3714285714292,55815.8285714286
2020,Bennington VT,35551.200000000004,209199.99999999994,781.800000000001,58179.00000000006
2021,Bennington VT,35393.8,210739.99999999983,742.8000000000014,60896.60000000011
2022,Bennington VT,35256.25714285714,212879.99999999968,696.3714285714307,63968.62857142872
2015,Berlin NH-VT,38095.950000000004,123179.99999999996,692.8499999999998,41379.00000000001
2016,Berlin NH-VT,38335.15000000001,122760.00000000003,704.45,43548.00000000001
2017,Berlin NH-VT,38378.85000000003,123740.00000000007,712.5500000000002,44615.00000000002
2018,Berlin NH-VT,38227.05000000005,126120.00000000009,717.1500000000002,44580.000000000044
2020,Berlin NH-VT,37336.95000000011,135080.00000000003,715.8500000000003,41204.00000000014
2021,Berlin NH-VT,36598.650000000154,141659.99999999997,709.95,37863.0000000002
2022,Berlin NH-VT,35664.85000000021,149639.99999999985,700.55,33420.00000000028
2015,Big Rapids MI,43301.485714285714,110251.42857142861,629.7714285714287,41638.45714285715
2016,Big Rapids MI,43245.05714285715,111914.28571428574,629.1142857142859,42401.77142857144
2017,Big Rapids MI,43219.914285714294,114348.57142857146,642.0285714285716,43248.94285714287
2018,Big Rapids MI,43226.05714285715,117554.28571428575,668.5142857142858,44179.97142857144
2019,Big Rapids MI,43263.485714285714,121531.42857142861,708.5714285714287,45194.857142857174
2020,Big Rapids MI,43332.2,126280.00000000006,762.2000000000002,46293.60000000004
2021,Big Rapids MI,43432.19999999998,131800.00000000006,829.4000000000002,47476.20000000006
2022,Big Rapids MI,43563.485714285685,138091.42857142867,910.1714285714288,48742.65714285723
2015,Big Spring TX,37135.65714285717,75868.57142857143,783.9999999999998,50381.685714285726
2016,Big Spring TX,37917.771428571454,83605.71428571429,821.8000000000001,50582.85714285716
2017,Big Spring TX,38081.74285714289,90071.42857142857,848.6000000000001,51248.31428571431
2018,Big Spring TX,37627.571428571464,95265.71428571429,864.4000000000002,52378.05714285717
2019,Big Spring TX,36555.25714285719,99188.57142857146,869.2000000000002,53972.08571428576
2020,Big Spring TX,34864.80000000006,101840.00000000007,863.0,56030.40000000005
2021,Big Spring TX,32556.200000000077,103220.00000000013,845.7999999999997,58553.00000000007
2022,Big Spring TX,29629.457142857234,103328.57142857161,817.5999999999992,61539.8857142858
2015,Big Stone Gap VA,58725.94285714285,84851.42857142861,587.0000000000001,35638.000000000015
