"RegionName","City","State","Metro","CountyName","SizeRank","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03"
"North Shore","Miami Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.27272727272727,2.27655534457724,2.55506607929515,2.55506607929515,2.31564838601586,2.22868217054264,2.3,2.30384615384615,2.23664707385638,2.2,2.29508196721311,2.38365493757094,2.29074889867841,2.38365493757094,2.4494589601478,2.51667316270408,2.4822695035461,2.44678492239468,2.39130434782609,2.41336633663366,2.37885462555066,2.37885462555066,2.35294117647059,2.4702380952381,2.67263559472408,2.5219298245614,2.4866785079929,2.65822784810127,2.5,2.40147783251232,2.39837398373984,2.40324275866333
"Windsor Terrace","New York","NY","New York-Newark-Jersey City","Kings County",126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14102564102564,3.1487396784007,3.15721649484536,3.11666666666667,3.16156019122121,3.15,2.96875,2.9375,3,2.94427244582043,2.97595933562428,2.92121212121212,3,3,3.17651515151515,3.1125,3.20555555555556,3.184,3.15645371577575,3.14595413061515,3,3.02777777777778,3.05555555555556,3.15645371577575,3.20629370629371,3.46188289322618,3.23529411764706
"Goose Island","Chicago","IL","Chicago-Naperville-Elgin","Cook County",127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88649706457926,2.82880128720837,2.85714285714286,2.82352941176471,2.68400520156047,2.67553191489362,2.7061170212766,2.78210116731517,3.00875,3.11888528667229,3.17238267148014,3.0625,2.73500967117988,2.58569348048697,2.77562123947052,2.71659574468085,2.77777777777778,2.59050631471157,2.85164835164835,2.98618307426598,3.09734513274336,3.17
"Park Manor","Chicago","IL","Chicago-Naperville-Elgin","Cook County",128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02132899628253,1,1,0.9975,1,1,0.958333333333333,1.025,1,0.934659090909091,0.958333333333333,1,1,0.928571428571429,0.995833333333333,0.995833333333333,1,1.05,0.979166666666667,0.930288461538462
"Union Square","Somerville","MA","Boston-Cambridge-Newton","Middlesex County",129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,2.22222222222222,2.08333333333333,2.12418300653595,2.20132158590308,2.42708333333333,2.375,2.43088235294118,2.5,2.45398773006135,2.50490196078431,2.5,2.45506404046927,2.6530612244898,2.44444444444444,2.30952380952381,2.45454545454545,2.58333333333333,2.6,2.7,2.52380952380952,2.41428571428571,2.4,2.375,2.26277372262774,2.36245572609209,2.41052631578947,2.5,2.77350427350427
"Northwest","Portland","OR","Portland-Vancouver-Hillsboro","Multnomah County",130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.38515494137353,2.31960553340582,2.40369156566906,2.41798600883652,2.41798600883652,2.35857805255023,2.34615384615385,2.2142973352514,2.25968181818182,2.24193548387097,2.3227229601518,2.31936274509804,2.22042410714286,2.26136363636364,2.26136363636364,2.23809523809524,2.28690476190476,2.33497739416358,2.42088014981273,2.26470588235294,2.2824427480916,2.16417910447761,2.18077376276512,2.4468085106383,2.26241134751773,2.39
"North Park","Buffalo","NY","Buffalo-Cheektowaga-Niagara Falls","Erie County",131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.432560432373335,0.455298013245033,0.443672839506173,0.43198876510574,0.42910447761194,0.427454811919883,0.440239239141092,0.418297318165099,0.447713463383435,0.458715596330275,0.43904958677686,0.429897188608862,0.454545454545455,0.467256527711259,0.454921733895244,0.443672839506173,0.456724960734566,0.450112781447114,0.438224409998604,0.461902218092282,0.472510162601626,0.474962006079027
"Gold Coast","Chicago","IL","Chicago-Naperville-Elgin","Cook County",132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.33333333333333,2.3494966442953,2.47619047619048,2.33990147783251,2.3125,2.26086956521739,2.57338483146067,2.47900432900433,2.3255230125523,2.2,2.3,2.11428571428571,2.11875,2.29393305439331,2.32838650627615,2.3625,2.3853050185315,2.42232142857143,2.40714285714286,2.32,2.3,2.23658872077029,2.27761904761905,2.29761904761905,2.3165017716339,2.36841618404118,2.58333333333333
"Irving Park","Chicago","IL","Chicago-Naperville-Elgin","Cook County",133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.375,1.47604166666667,1.41287878787879,1.38392857142857,1.41875,1.35,1.42857142857143,1.44,1.55,1.55625,1.55,1.72932330827068,1.61111111111111,1.571875,1.53125,1.475,1.5,1.51595744680851,1.57916666666667,1.5,1.5,1.48333333333333
"Mid-City","New Orleans","LA","New Orleans-Metairie","Orleans Parish",134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18347338935574,1.12777777777778,1.23125,1.225,1.15106837606838,1.01495726495726,1.07736985236985,1.0694976076555,1.07651515151515,1.10460387180739,1.08695652173913,0.96875,1.01388888888889,1.1010101010101,1.0758547008547,0.920061099796334,0.894144784014503,0.912761334272962
